classe,precision,recall,f1-score,support
High,0.32180663373323926,0.23547637490317583,0.2719546742209632,3873.0
Low,0.6492599368035922,0.7564425498934315,0.6987649901557186,5161.0
Moderate,0.42863113897596655,0.390592268139402,0.4087285771223595,5251.0
Severe,0.6750942211055276,0.7522309711286089,0.7115782504344947,5715.0
accuracy,0.5583,0.5583,0.5583,0.5583
macro avg,0.5186979826545814,0.5336855410161546,0.522756622983384,20000.0
weighted avg,0.5353046605336532,0.5583,0.543625501357705,20000.0
