"Localidade";"Variável";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Aparecida de Goiânia";"Docentes - Total (número)";"3.983";"3.994";"4.107";"4.203";"4.297";"4.139";"3.943";"3.843";"4.000";"3.998";"4.179"
"Aparecida de Goiânia";"Salas de Aula Utilizadas - Total (número)";"2.212";"2.233";"2.231";"2.384";"2.417";"2.434";"2.357";"2.422";"2.461";"2.531";"2.678"
"Trindade";"Docentes - Total (número)";"927";"967";"979";"976";"1.106";"1.142";"313";"1.099";"1.212";"1.195";"1.272"
"Trindade";"Salas de Aula Utilizadas - Total (número)";"563";"634";"585";"562";"667";"736";"778";"807";"797";"944";"879"
