classe,precision,recall,f1-score,support
High,0.3558548772539648,0.4229279628195198,0.38650306748466257,3873.0
Low,0.706386147830944,0.7351288509978686,0.7204709456893278,5161.0
Moderate,0.46790757381258025,0.4164920967434774,0.4407052896725441,5251.0
Severe,0.7660687593423019,0.7174103237095363,0.7409415379054848,5715.0
accuracy,0.58595,0.58595,0.58595,0.58595
macro avg,0.5740543395599478,0.5729898085676005,0.5721552101880049,20000.0
weighted avg,0.5929475239145611,0.58595,0.5881950648135547,20000.0
